year,tas_anomaly,scenario
1980,-0.64,historical
1981,-0.58,historical
1982,-0.63,historical
1983,-0.65,historical
1984,-0.48,historical
1985,-0.53,historical
1986,-0.56,historical
1987,-0.41,historical
1988,-0.43,historical
1989,-0.37,historical
1990,-0.29,historical
1991,-0.49,historical
1992,-0.67,historical
1993,-0.36,historical
1994,-0.09,historical
1995,-0.49,historical
1996,-0.38,historical
1997,-0.18,historical
1998,-0.3,historical
1999,-0.31,historical
2000,-0.25,historical
2001,-0.09,historical
2002,0.12,historical
2003,0.11,historical
2004,0.11,historical
2005,0.14,historical
2006,0.2,historical
2007,0.24,historical
2008,0.25,historical
2009,0.16,historical
2010,0.25,historical
2011,0.22,historical
2012,0.01,historical
2013,-0.05,historical
2014,0.24,historical
2015,0.4,ssp585
2016,0.04,ssp585
2017,0.03,ssp585
2018,0.27,ssp585
2019,0.45,ssp585
2020,0.34,ssp585
2021,0.45,ssp585
2022,0.49,ssp585
2023,0.57,ssp585
2024,0.46,ssp585
2025,0.36,ssp585
2026,0.5,ssp585
2027,0.81,ssp585
2028,0.88,ssp585
2029,0.9,ssp585
2030,0.75,ssp585
2031,0.7,ssp585
2032,0.98,ssp585
2033,1.08,ssp585
2034,1.1,ssp585
2035,1.22,ssp585
2036,1.13,ssp585
2037,1.22,ssp585
2038,1.19,ssp585
2039,1.24,ssp585
2040,1.31,ssp585
2041,1.35,ssp585
2042,1.45,ssp585
2043,1.54,ssp585
2044,1.32,ssp585
2045,1.36,ssp585
2046,1.67,ssp585
2047,1.79,ssp585
2048,1.82,ssp585
2049,1.97,ssp585
2050,2.06,ssp585
2051,1.94,ssp585
2052,1.99,ssp585
2053,1.98,ssp585
2054,1.98,ssp585
2055,2.15,ssp585
2056,2.25,ssp585
2057,2.18,ssp585
2058,2.42,ssp585
2059,2.35,ssp585
2060,2.41,ssp585
2061,2.46,ssp585
2062,2.47,ssp585
2063,2.64,ssp585
2064,2.5,ssp585
2065,2.73,ssp585
2066,2.95,ssp585
2067,3.03,ssp585
2068,2.93,ssp585
2069,2.83,ssp585
2070,3.06,ssp585
2071,3.24,ssp585
2072,3.09,ssp585
2073,3.38,ssp585
2074,3.34,ssp585
2075,3.45,ssp585
2076,3.54,ssp585
2077,3.62,ssp585
2078,3.83,ssp585
2079,3.78,ssp585
2080,3.94,ssp585
2081,3.92,ssp585
2082,3.77,ssp585
2083,3.97,ssp585
2084,4.11,ssp585
2085,4.25,ssp585
2086,4.2,ssp585
2087,4.43,ssp585
2088,4.32,ssp585
2089,4.46,ssp585
2090,4.48,ssp585
2091,4.54,ssp585
2092,4.72,ssp585
2093,4.86,ssp585
2094,5.0,ssp585
2095,5.03,ssp585
2096,5.1,ssp585
2097,5.14,ssp585
2098,5.13,ssp585
2099,5.33,ssp585
2100,5.49,ssp585
